”¼Œar[m],—ƒŒ·’·chord[m],Žæ•tŠptheta[deg]
0.0625525,0.194773873,79.13816314
0.0696575,0.194773873,80.1717136
0.0767625,0.194773873,80.0049228
0.0838675,0.194773873,79.60178716
0.0909725,0.194773873,79.10039521
0.0980775,0.194773873,78.54686935
0.1051825,0.194773873,77.9622428
0.1122875,0.194773873,77.35790275
0.1193925,0.194773873,76.74073917
0.1264975,0.194773873,76.11526477
0.1336025,0.194773873,75.48461909
0.1407075,0.194773873,74.85109455
0.1478125,0.194773873,74.21643427
0.1549175,0.194773873,73.58201147
0.1620225,0.194773873,72.94894369
0.1691275,0.194773873,72.31816946
0.1762325,0.194773873,71.69050296
0.1833375,0.194773873,71.06667611
0.1904425,0.194773873,70.44737489
0.1975475,0.194773873,69.83327594
0.2046525,0.194773873,69.22509093
0.2117575,0.194773873,68.62363198
0.2188625,0.194773873,68.02992664
0.2259675,0.194773873,67.44545938
0.2330725,0.194773873,66.87279886
0.2401775,0.194773873,66.31789136
0.2472825,0.194773873,65.81008719
0.2543875,0.194773873,65.27702738
0.2614925,0.194773873,64.67636563
0.2685975,0.194773873,64.08164907
0.2757025,0.194773873,63.49282917
0.2828075,0.194773873,62.91006807
0.2899125,0.194773873,62.333469
0.2970175,0.194773873,61.756092
0.3041225,0.194773873,61.19625402
0.3112275,0.194773873,60.6636461
0.3183325,0.194773873,60.17855118
0.3254375,0.194773873,59.64738754
0.3325425,0.194773873,59.10725877
0.3396475,0.194758153,58.57344038
0.3467525,0.194669809,58.08303489
0.3538575,0.194515565,57.60160916
0.3609625,0.194301175,57.12631114
0.3680675,0.194032335,56.65827564
0.3751725,0.193325369,56.22698232
0.3822775,0.192378147,55.78772214
0.3893825,0.191414347,55.35657196
0.3964875,0.190435966,54.93245511
0.4035925,0.189444671,54.51566971
0.4106975,0.188441962,54.10499075
0.4178025,0.187429209,53.69982442
0.4249075,0.186407674,53.29921098
0.4320125,0.185378525,52.90227205
0.4391175,0.184342841,52.50969391
0.4462225,0.183301623,52.12213328
0.4533275,0.182255802,51.73858626
0.4604325,0.181206243,51.35964355
0.4675375,0.180153759,50.985509
0.4746425,0.179099106,50.61611423
0.4817475,0.178042993,50.25133665
0.4888525,0.17698608,49.89143401
0.4959575,0.175928987,49.53651288
0.5030625,0.174872292,49.18672108
0.5101675,0.173816528,48.84175422
0.5172725,0.172762204,48.50117884
0.5243775,0.171709779,48.16498936
0.5314825,0.170659699,47.83255659
0.5385875,0.169612365,47.50376215
0.5456925,0.168568159,47.17826477
0.5527975,0.167527439,46.85528596
0.5599025,0.16649053,46.53521985
0.5670075,0.165457738,46.21932005
0.5741125,0.164429348,45.9070708
0.5812175,0.163405621,45.59844357
0.5883225,0.162386801,45.29320249
0.5954275,0.161373113,44.99129722
0.6025325,0.16036476,44.69263042
0.6096375,0.159361939,44.39691881
0.6167425,0.158364813,44.1044791
0.6238475,0.157373547,43.81491463
0.6309525,0.156388289,43.52809423
0.6380575,0.155409162,43.24430678
0.6451625,0.154436295,42.96337076
0.6522675,0.153469794,42.68534223
0.6593725,0.152509753,42.41038125
0.6664775,0.151556261,42.13828262
0.6735825,0.150609393,41.86895055
0.6806875,0.149669214,41.60234898
0.6877925,0.148735788,41.33838554
0.6948975,0.147809159,41.07728422
0.7020025,0.146889376,40.8187469
0.7091075,0.145976472,40.56276934
0.7162125,0.145070474,40.30937546
0.7233175,0.144171405,40.05842913
0.7304225,0.14327928,39.80993069
0.7375275,0.142394111,39.56379564
0.7446325,0.1415159,39.3201222
0.7517375,0.140644646,39.07872418
0.7588425,0.139780345,38.83948462
0.7659475,0.138922983,38.60246028
0.7730525,0.138072549,38.36756544
0.7801575,0.137229021,38.13483375
0.7872625,0.136392384,37.90393398
0.7943675,0.135562603,37.67523077
0.8014725,0.134739656,37.44834776
0.8085775,0.133923508,37.22329018
0.8156825,0.133114122,37.00021944
0.8227875,0.132311462,36.77887495
0.8298925,0.131515488,36.55927871
0.8369975,0.130726156,36.34149701
0.8441025,0.129943421,36.12541664
0.8512075,0.129167237,35.91102126
0.8583125,0.128397553,35.69823993
0.8654175,0.127634317,35.48707875
0.8725225,0.126877476,35.27744317
0.8796275,0.126126977,35.06926626
0.8867325,0.125382761,34.86266777
0.8938375,0.124644773,34.65744477
0.9009425,0.123912952,34.45366193
0.9080475,0.123187237,34.25122221
0.9151525,0.122467567,34.05009239
0.9222575,0.121753879,33.85022716
0.9293625,0.121046109,33.65167508
0.9364675,0.120344192,33.45429434
0.9435725,0.11964806,33.25806314
0.9506775,0.118957648,33.06299781
0.9577825,0.118272886,32.8690176
0.9648875,0.117593705,32.67608822
0.9719925,0.116920035,32.48415912
0.9790975,0.116251804,32.29317121
0.9862025,0.115588939,32.10318591
0.9933075,0.114931367,31.91401026
1.0004125,0.114279014,31.72567337
1.0075175,0.113631802,31.53815193
1.0146225,0.112989657,31.3513589
1.0217275,0.1123525,31.1653674
1.0288325,0.111720253,30.98018304
1.0359375,0.111092836,30.79566469
1.0430425,0.110470165,30.61174668
1.0501475,0.109852159,30.42856859
1.0572525,0.109238734,30.24592702
1.0643575,0.108629803,30.0639269
1.0714625,0.108025278,29.8824007
1.0785675,0.10742507,29.7013816
1.0856725,0.106829087,29.52077984
1.0927775,0.106237236,29.34063345
1.0998825,0.105649421,29.16082224
1.1069875,0.105065541,28.98135785
1.1140925,0.104485496,28.80211375
1.1211975,0.103909181,28.62311365
1.1283025,0.103336489,28.4443169
1.1354075,0.102767305,28.26558245
1.1425125,0.102201515,28.08677763
1.1496175,0.101638997,27.90770423
1.1567225,0.101079624,27.72830626
1.1638275,0.100523265,27.54864815
1.1709325,0.099969781,27.36858066
1.1780375,0.099419026,27.18811802
1.1851425,0.098870848,27.00730706
1.1922475,0.098325082,26.82615535
1.1993525,0.097781557,26.64476045
1.2064575,0.09724009,26.46360198
1.2135625,0.096700481,26.28131241
1.2206675,0.096162519,26.09688437
1.2277725,0.095625977,25.91107851
1.2348775,0.095090607,25.72437653
1.2419825,0.094556144,25.53716442
1.2490875,0.094022294,25.34970718
1.2561925,0.093488735,25.16232517
1.2632975,0.092955113,24.97558875
1.2704025,0.092421032,24.78858003
1.2775075,0.091886054,24.60115295
1.2846125,0.091349691,24.41311438
1.2917175,0.090811383,24.22407359
1.2988225,0.090270503,24.03326899
1.3059275,0.089726324,23.84096916
1.3130325,0.089178012,23.64577016
1.3201375,0.088624583,23.44770774
1.3272425,0.088064874,23.24875698
1.3343475,0.087497452,23.05136799
1.3414525,0.08692046,22.85603802
1.3485575,0.086305504,22.64454682
1.3556625,0.085287199,22.47653513
1.3627675,0.084223952,22.31009305
1.3698725,0.083106178,22.14162952
1.3769775,0.081921761,21.95885068
1.3840825,0.080652374,21.75674407
1.3911875,0.078714159,21.47699656
1.3982925,0.076553409,21.32322428
1.4053975,0.074250315,21.19623726
1.4125025,0.071757066,21.08755078
1.4196075,0.06901383,20.97366684
1.4267125,0.06560883,20.85306475
1.4338175,0.061421161,20.8587284
1.4409225,0.056647334,20.90111381
1.4480275,0.050389071,20.66688531
1.4551325,0.043257522,20.91671458
1.4622375,0.033496459,21.15452896
1.4693425,0.021765508,21.51254255
1.4764475,0.010740861,20.98733293
